slug,name,category,rarity,legendary,mana_color_code,mana_cost,energy_cost,attack,defense,health,base_energy_per_turn,equipment_slots,keywords
crystal-glide-sweep,Crystal Glide Sweep,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
nimbus-arc-cascade,Nimbus Arc Cascade,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
aether-spin-pierce,Aether Spin Pierce,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
nimbus-arc-pierce,Nimbus Arc Pierce,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
frost-pulse-skim,Frost Pulse Skim,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
polar-break-sweep,Polar Break Sweep,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
crystal-glide-flow,Crystal Glide Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
crystal-glide-dive,Crystal Glide Dive,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
echo-wave-cascade,Echo Wave Cascade,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
echo-wave-shatter,Echo Wave Shatter,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
mist-step-cascade,Mist Step Cascade,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
star-lance-skim,Star Lance Skim,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
nimbus-arc-shatter,Nimbus Arc Shatter,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
frost-pulse-spiral,Frost Pulse Spiral,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
crystal-glide-ripple,Crystal Glide Ripple,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
sky-vault-spiral,Sky Vault Spiral,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
echo-wave-ripple,Echo Wave Ripple,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
sky-vault-dive,Sky Vault Dive,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
star-lance-sweep,Star Lance Sweep,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
sky-vault-pierce,Sky Vault Pierce,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
echo-wave-sweep,Echo Wave Sweep,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
star-lance-crush,Star Lance Crush,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
star-lance-ripple,Star Lance Ripple,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
aether-spin-ripple,Aether Spin Ripple,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
sky-vault-shatter,Sky Vault Shatter,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
sky-vault-ripple,Sky Vault Ripple,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
nimbus-arc-crush,Nimbus Arc Crush,ACTION,COMMON,FALSE,AZURE,0,1,0,0,0,0,0,
aether-spin-flow,Aether Spin Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
sky-vault-flow,Sky Vault Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
aether-spin-sweep,Aether Spin Sweep,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
mist-step-ripple,Mist Step Ripple,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
polar-break-shatter,Polar Break Shatter,ACTION,COMMON,FALSE,AZURE,0,2,0,0,0,0,0,
mist-step-pierce,Mist Step Pierce,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
star-lance-flow,Star Lance Flow,ACTION,COMMON,FALSE,AZURE,0,3,0,0,0,0,0,
inferno-drake,Inferno Drake,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
sear-behemoth,Sear Behemoth,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
cinder-ravager,Cinder Ravager,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
ember-juggernaut,Ember Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
ember-behemoth,Ember Behemoth,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
sear-warden,Sear Warden,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
hell-behemoth,Hell Behemoth,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
blaze-behemoth,Blaze Behemoth,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
hell-goliath,Hell Goliath,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
flame-juggernaut,Flame Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
ash-warden,Ash Warden,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
hell-ravager,Hell Ravager,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
ash-goliath,Ash Goliath,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
char-juggernaut,Char Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
pyre-maw,Pyre Maw,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
blaze-hound,Blaze Hound,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
inferno-hydra,Inferno Hydra,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
sear-maw,Sear Maw,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
cinder-warden,Cinder Warden,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
hell-warden,Hell Warden,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
char-ravager,Char Ravager,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
ash-hound,Ash Hound,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
blaze-warden,Blaze Warden,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
sear-ravager,Sear Ravager,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
ember-goliath,Ember Goliath,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
blaze-ravager,Blaze Ravager,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
ember-drake,Ember Drake,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
flame-hound,Flame Hound,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
flame-warden,Flame Warden,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
pyre-drake,Pyre Drake,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
pyre-behemoth,Pyre Behemoth,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
hell-maw,Hell Maw,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
flame-goliath,Flame Goliath,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
char-drake,Char Drake,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
inferno-juggernaut,Inferno Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
hell-myrmidon,Hell Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
flame-behemoth,Flame Behemoth,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
ash-myrmidon,Ash Myrmidon,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
blaze-hydra,Blaze Hydra,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
flame-ravager,Flame Ravager,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
hell-hound,Hell Hound,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
sear-drake,Sear Drake,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
char-hound,Char Hound,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
ash-behemoth,Ash Behemoth,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
ember-hydra,Ember Hydra,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
inferno-warden,Inferno Warden,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
ash-maw,Ash Maw,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
pyre-warden,Pyre Warden,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
ember-ravager,Ember Ravager,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
char-hydra,Char Hydra,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
ember-myrmidon,Ember Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
hell-juggernaut,Hell Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
pyre-myrmidon,Pyre Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
inferno-behemoth,Inferno Behemoth,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
ember-hound,Ember Hound,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
inferno-goliath,Inferno Goliath,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
char-behemoth,Char Behemoth,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
char-goliath,Char Goliath,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
inferno-myrmidon,Inferno Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
cinder-myrmidon,Cinder Myrmidon,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
cinder-goliath,Cinder Goliath,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
cinder-hydra,Cinder Hydra,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
cinder-juggernaut,Cinder Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
pyre-hydra,Pyre Hydra,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
ash-drake,Ash Drake,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
cinder-drake,Cinder Drake,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
inferno-hound,Inferno Hound,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
blaze-drake,Blaze Drake,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
hell-drake,Hell Drake,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
sear-goliath,Sear Goliath,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
flame-hydra,Flame Hydra,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
sear-myrmidon,Sear Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
ash-hydra,Ash Hydra,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
ash-juggernaut,Ash Juggernaut,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
inferno-ravager,Inferno Ravager,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
blaze-juggernaut,Blaze Juggernaut,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
ember-warden,Ember Warden,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
pyre-hound,Pyre Hound,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
char-maw,Char Maw,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
sear-hydra,Sear Hydra,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
flame-myrmidon,Flame Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
blaze-myrmidon,Blaze Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
char-warden,Char Warden,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
cinder-behemoth,Cinder Behemoth,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
flame-maw,Flame Maw,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
cinder-hound,Cinder Hound,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
ash-ravager,Ash Ravager,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
blaze-maw,Blaze Maw,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
inferno-maw,Inferno Maw,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
hell-hydra,Hell Hydra,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
char-myrmidon,Char Myrmidon,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
pyre-juggernaut,Pyre Juggernaut,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
ember-maw,Ember Maw,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
flame-drake,Flame Drake,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
cinder-maw,Cinder Maw,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
blaze-goliath,Blaze Goliath,CREATURE,COMMON,FALSE,CRIMSON,4,1,3,0,8,2,2,
pyre-ravager,Pyre Ravager,CREATURE,RARE,FALSE,CRIMSON,7,3,4,0,11,3,2,
sear-hound,Sear Hound,CREATURE,COMMON,FALSE,CRIMSON,3,1,2,0,7,1,2,
sear-juggernaut,Sear Juggernaut,CREATURE,RARE,FALSE,CRIMSON,6,2,4,0,10,3,2,
pyre-goliath,Pyre Goliath,CREATURE,COMMON,FALSE,CRIMSON,5,1,3,0,9,2,2,
magma-bastion,Magma Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
anvil-pylon,Anvil Pylon,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
magma-crucible,Magma Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
ember-rampart,Ember Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
cinder-spire,Cinder Spire,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
anvil-citadel,Anvil Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
basalt-pylon,Basalt Pylon,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
furnace-bastion,Furnace Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
coal-crucible,Coal Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
basalt-citadel,Basalt Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
furnace-reactor,Furnace Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
cinder-beacon,Cinder Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
anvil-beacon,Anvil Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
ash-rampart,Ash Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
basalt-spire,Basalt Spire,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
coal-gate,Coal Gate,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
forge-citadel,Forge Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
basalt-reactor,Basalt Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
coal-beacon,Coal Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
cinder-gate,Cinder Gate,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ash-bastion,Ash Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
anvil-reactor,Anvil Reactor,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
basalt-crucible,Basalt Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
cinder-reactor,Cinder Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
cinder-rampart,Cinder Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
pyre-reactor,Pyre Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
ember-pylon,Ember Pylon,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
magma-pylon,Magma Pylon,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
forge-beacon,Forge Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
furnace-pylon,Furnace Pylon,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ash-spire,Ash Spire,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
pyre-citadel,Pyre Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
forge-crucible,Forge Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
furnace-rampart,Furnace Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
magma-kiln,Magma Kiln,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
coal-kiln,Coal Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
ash-citadel,Ash Citadel,STRUCTURE,RARE,FALSE,CRIMSON,6,1,0,3,12,3,2,
anvil-bastion,Anvil Bastion,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ash-reactor,Ash Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
furnace-kiln,Furnace Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
pyre-kiln,Pyre Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
ash-gate,Ash Gate,STRUCTURE,RARE,FALSE,CRIMSON,6,1,0,3,12,3,2,
magma-reactor,Magma Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
magma-beacon,Magma Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
pyre-gate,Pyre Gate,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
cinder-pylon,Cinder Pylon,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ember-bastion,Ember Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
ember-spire,Ember Spire,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
pyre-pylon,Pyre Pylon,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
magma-citadel,Magma Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
furnace-citadel,Furnace Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
coal-pylon,Coal Pylon,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
anvil-spire,Anvil Spire,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
ember-beacon,Ember Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
basalt-rampart,Basalt Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
ash-pylon,Ash Pylon,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
forge-kiln,Forge Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
furnace-gate,Furnace Gate,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
magma-rampart,Magma Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
forge-rampart,Forge Rampart,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
anvil-crucible,Anvil Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
pyre-crucible,Pyre Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
ember-citadel,Ember Citadel,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
furnace-beacon,Furnace Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
forge-bastion,Forge Bastion,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ash-crucible,Ash Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
forge-reactor,Forge Reactor,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ember-crucible,Ember Crucible,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
magma-gate,Magma Gate,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
cinder-crucible,Cinder Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
ember-kiln,Ember Kiln,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ember-reactor,Ember Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
forge-gate,Forge Gate,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
coal-citadel,Coal Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
anvil-kiln,Anvil Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
pyre-beacon,Pyre Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
basalt-gate,Basalt Gate,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
cinder-kiln,Cinder Kiln,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
furnace-spire,Furnace Spire,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ash-beacon,Ash Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
furnace-crucible,Furnace Crucible,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
anvil-rampart,Anvil Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
basalt-beacon,Basalt Beacon,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
pyre-bastion,Pyre Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
forge-pylon,Forge Pylon,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
ember-gate,Ember Gate,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
coal-spire,Coal Spire,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
coal-bastion,Coal Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
pyre-rampart,Pyre Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
basalt-bastion,Basalt Bastion,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
forge-spire,Forge Spire,STRUCTURE,COMMON,FALSE,CRIMSON,4,2,0,2,10,2,2,
magma-spire,Magma Spire,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
anvil-gate,Anvil Gate,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
cinder-bastion,Cinder Bastion,STRUCTURE,RARE,FALSE,CRIMSON,6,2,0,3,12,3,2,
ash-kiln,Ash Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
coal-rampart,Coal Rampart,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
cinder-citadel,Cinder Citadel,STRUCTURE,COMMON,FALSE,CRIMSON,5,2,0,2,11,2,2,
coal-reactor,Coal Reactor,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
basalt-kiln,Basalt Kiln,STRUCTURE,COMMON,FALSE,CRIMSON,2,1,0,1,8,1,2,
pyre-spire,Pyre Spire,STRUCTURE,COMMON,FALSE,CRIMSON,3,1,0,1,9,1,2,
inferno-step-surge,Inferno Step Surge,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
magma-rush-burst,Magma Rush Burst,ACTION,COMMON,FALSE,CRIMSON,0,3,0,0,0,0,0,
ash-gale-hammer,Ash Gale Hammer,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
pyrebrand-hammer,Pyrebrand Hammer,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
flame-pulse-strike,Flame Pulse Strike,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
pyrebrand-crash,Pyrebrand Crash,ACTION,COMMON,FALSE,CRIMSON,0,3,0,0,0,0,0,
magma-rush-cleave,Magma Rush Cleave,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
basalt-break-howl,Basalt Break Howl,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
ash-gale-burst,Ash Gale Burst,ACTION,COMMON,FALSE,CRIMSON,0,3,0,0,0,0,0,
pyrebrand-cleave,Pyrebrand Cleave,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
basalt-break-surge,Basalt Break Surge,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
flame-pulse-howl,Flame Pulse Howl,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
magma-rush-lash,Magma Rush Lash,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
pyrebrand-cascade,Pyrebrand Cascade,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
cinder-cut-lunge,Cinder Cut Lunge,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
ash-gale-crash,Ash Gale Crash,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
flame-pulse-crash,Flame Pulse Crash,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
coal-vortex-lash,Coal Vortex Lash,ACTION,COMMON,FALSE,CRIMSON,0,3,0,0,0,0,0,
coal-vortex-lunge,Coal Vortex Lunge,ACTION,COMMON,FALSE,CRIMSON,0,2,0,0,0,0,0,
coal-vortex-strike,Coal Vortex Strike,ACTION,COMMON,FALSE,CRIMSON,0,1,0,0,0,0,0,
